GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
root::app,com.nc.app.config,WebSecurityConfig,0,88,0,0,0,24,0,5,0,5
root::app,com.nc.app.api.v1,JwtAuthenticationController,0,42,0,0,0,9,0,3,0,3
root::app,com.nc.app.api.v1,GameController,0,54,0,0,0,10,0,10,0,10
